,X,Y,Z,BGR,material,matNum,wsX,wsY,wsZ
0,0,0,1,0 255 0,mod,1,-90.0,-90.0,-80.52631578947367
1,0,1,1,0 255 0,mod,1,-90.0,-80.52631578947367,-80.52631578947367
2,0,2,1,0 255 0,mod,1,-90.0,-71.05263157894737,-80.52631578947367
3,0,3,1,0 255 0,mod,1,-90.0,-61.57894736842105,-80.52631578947367
4,0,4,1,0 255 0,mod,1,-90.0,-52.10526315789473,-80.52631578947367
5,0,5,1,0 255 0,mod,1,-90.0,-42.63157894736842,-80.52631578947367
6,0,6,1,0 255 0,mod,1,-90.0,-33.1578947368421,-80.52631578947367
7,0,7,1,0 255 0,mod,1,-90.0,-23.684210526315788,-80.52631578947367
8,0,8,1,0 255 0,mod,1,-90.0,-14.210526315789473,-80.52631578947367
9,0,9,1,0 255 0,mod,1,-90.0,-4.7368421052631575,-80.52631578947367
10,0,10,1,0 255 0,mod,1,-90.0,4.7368421052631575,-80.52631578947367
11,0,11,1,0 255 0,mod,1,-90.0,14.210526315789473,-80.52631578947367
12,0,12,1,0 255 0,mod,1,-90.0,23.684210526315788,-80.52631578947367
13,0,13,1,0 255 0,mod,1,-90.0,33.1578947368421,-80.52631578947367
14,0,14,1,0 255 0,mod,1,-90.0,42.63157894736842,-80.52631578947367
15,0,15,1,0 255 0,mod,1,-90.0,52.10526315789473,-80.52631578947367
16,0,16,1,0 255 0,mod,1,-90.0,61.57894736842105,-80.52631578947367
17,0,17,1,0 255 0,mod,1,-90.0,71.05263157894737,-80.52631578947367
18,0,18,1,0 255 0,mod,1,-90.0,80.52631578947367,-80.52631578947367
19,0,19,1,0 255 0,mod,1,-90.0,90.0,-80.52631578947367
20,1,0,1,0 255 0,mod,1,-80.52631578947367,-90.0,-80.52631578947367
21,1,1,1,0 255 0,mod,1,-80.52631578947367,-80.52631578947367,-80.52631578947367
22,1,2,1,0 255 0,mod,1,-80.52631578947367,-71.05263157894737,-80.52631578947367
23,1,3,1,0 255 0,mod,1,-80.52631578947367,-61.57894736842105,-80.52631578947367
24,1,4,1,0 255 0,mod,1,-80.52631578947367,-52.10526315789473,-80.52631578947367
25,1,5,1,0 255 0,mod,1,-80.52631578947367,-42.63157894736842,-80.52631578947367
26,1,6,1,0 255 0,mod,1,-80.52631578947367,-33.1578947368421,-80.52631578947367
27,1,7,1,0 255 0,mod,1,-80.52631578947367,-23.684210526315788,-80.52631578947367
28,1,8,1,0 255 0,mod,1,-80.52631578947367,-14.210526315789473,-80.52631578947367
